,vader,manual,textblob,hiv4,lm,aggregate
0,51.199717713479174,50.28228652081863,49.68242766407904,50.7410021171489,47.31827805222301,50.423429781227945
1,51.30557515878616,51.55257586450247,50.4940014114326,50.84685956245589,48.58856739590684,50.84685956245589
2,50.070571630204654,50.17642907551164,50.7410021171489,49.47071277346507,47.812279463655614,50.141143260409315
3,50.352858151023284,50.38814396612562,49.82357092448836,49.92942836979534,48.20042342978123,49.576570218772055
4,51.55257586450247,50.21171489061397,50.2470007057163,50.952717007762885,48.094565984474244,51.69371912491179
5,52.04657727593507,49.858856739590685,50.635144671841914,51.37614678899083,47.84756527875794,51.37614678899083
6,51.27028934368384,50.10585744530699,50.10585744530699,50.7410021171489,48.62385321100918,50.45871559633027
7,50.423429781227945,50.917431192660544,50.28228652081863,49.71771347918137,48.05928016937192,49.89414255469302
8,51.37614678899083,50.81157374735356,50.423429781227945,50.070571630204654,47.49470712773466,50.635144671841914
9,50.7410021171489,51.44671841919548,50.31757233592096,50.21171489061397,47.52999294283698,50.31757233592096
10,50.988002822865205,50.4940014114326,51.16443189837685,50.45871559633027,47.31827805222301,50.56457304163726
11,50.917431192660544,50.59985885673959,49.96471418489767,49.32956951305575,47.77699364855329,49.82357092448836
12,50.28228652081863,50.52928722653493,49.32956951305575,49.43542695836274,47.812279463655614,50.45871559633027
13,50.2470007057163,50.84685956245589,50.0,49.011997177134795,48.02399435426958,49.82357092448836
14,50.423429781227945,50.21171489061397,50.2470007057163,50.59985885673959,47.77699364855329,49.92942836979534
15,51.8348623853211,51.12914608327452,51.41143260409316,51.05857445306986,47.60056457304164,51.97600564573042
16,50.28228652081863,49.89414255469302,50.67043048694425,49.752999294283704,48.05928016937192,49.89414255469302
17,51.34086097388849,50.7410021171489,50.31757233592096,49.61185603387438,47.49470712773466,50.59985885673959
18,48.69442484121384,49.40014114326041,49.47071277346507,48.97671136203247,47.88285109386027,47.95342272406493
19,50.17642907551164,49.752999294283704,48.55328158080452,50.17642907551164,47.49470712773466,49.36485532815808
20,52.22300635144672,51.5878616796048,50.2470007057163,50.352858151023284,47.74170783345095,51.97600564573042
21,50.917431192660544,49.64714184897671,50.2470007057163,50.352858151023284,47.706422018348626,49.752999294283704
22,49.576570218772055,50.2470007057163,51.05857445306986,48.51799576570219,48.270995059985886,49.92942836979534
23,50.917431192660544,50.17642907551164,49.858856739590685,48.83556810162315,48.76499647141849,49.71771347918137
24,51.16443189837685,51.34086097388849,50.45871559633027,48.20042342978123,48.05928016937192,50.141143260409315
25,51.97600564573042,51.02328863796753,50.070571630204654,49.294283697953425,47.706422018348626,50.917431192660544
26,50.31757233592096,49.04728299223712,51.69371912491179,49.43542695836274,46.8242766407904,49.68242766407904
27,50.952717007762885,50.0,49.71771347918137,50.352858151023284,47.17713479181369,50.423429781227945
28,50.635144671841914,49.294283697953425,49.223712067748764,49.858856739590685,47.88285109386027,49.788285109386024
29,49.752999294283704,49.82357092448836,50.56457304163726,49.61185603387438,46.8242766407904,50.141143260409315
30,50.67043048694425,48.87085391672548,48.76499647141849,48.55328158080452,46.683133380381086,49.04728299223712
