,vader,manual,textblob,hiv4,lm,aggregate
0,46.324269889224574,44.31017119838872,45.51863041289023,41.69184290030212,59.01309164149043,44.813695871097686
1,46.626384692849946,45.21651560926485,44.31017119838872,41.49043303121853,59.01309164149043,45.41792547834844
2,45.9214501510574,44.10876132930513,44.813695871097686,41.99395770392749,57.40181268882175,43.80664652567976
3,46.324269889224574,43.80664652567976,43.3031218529708,41.893252769385704,58.50956696878147,44.51158106747231
4,45.61933534743202,42.799597180261834,45.31722054380665,43.101711983887206,59.315206445115805,45.820745216515604
5,47.3313192346425,45.61933534743202,44.6122860020141,42.497482376636455,58.81168177240684,46.022155085599195
6,47.129909365558916,44.10876132930513,43.50453172205438,42.09466263846928,58.71097683786506,45.720040281973816
7,46.928499496475325,43.90735146022155,45.61933534743202,40.88620342396778,58.106747230614296,45.61933534743202
8,45.61933534743202,44.6122860020141,45.31722054380665,41.99395770392749,57.60322255790534,45.9214501510574
9,48.13695871097684,44.51158106747231,46.52567975830816,41.389728096676734,58.20745216515609,47.129909365558916
10,47.53272910372608,45.01510574018127,44.008056394763344,39.07351460221551,57.804632426988924,45.61933534743202
11,44.813695871097686,43.605236656596176,42.799597180261834,42.09466263846928,59.516616314199396,44.20946626384693
12,44.41087613293052,44.41087613293052,47.93554884189326,42.69889224572004,58.408862034239675,44.41087613293052
13,44.10876132930513,44.41087613293052,45.115810674723065,41.289023162134946,57.804632426988924,44.008056394763344
14,42.59818731117825,41.79254783484391,45.21651560926485,42.497482376636455,57.90533736153072,44.41087613293052
15,42.90030211480362,39.77844914400806,42.09466263846928,39.77844914400806,57.40181268882175,41.289023162134946
16,44.6122860020141,43.50453172205438,44.914400805639474,38.87210473313193,56.797583081571,44.41087613293052
17,47.93554884189326,44.6122860020141,45.21651560926485,42.59818731117825,58.006042296072515,45.9214501510574
18,44.31017119838872,44.914400805639474,42.296072507552864,43.101711983887206,57.301107754279954,43.40382678751259
19,47.129909365558916,43.3031218529708,42.296072507552864,41.08761329305136,58.106747230614296,44.31017119838872
20,43.40382678751259,44.20946626384693,43.705941591137965,42.296072507552864,57.301107754279954,44.914400805639474
21,46.82779456193353,42.195367573011076,44.20946626384693,40.080563947633436,57.90533736153072,44.6122860020141
22,46.022155085599195,41.893252769385704,43.80664652567976,41.893252769385704,57.301107754279954,43.705941591137965
23,45.41792547834844,41.69184290030212,42.69889224572004,41.08761329305136,56.6968781470292,43.80664652567976
24,45.21651560926485,41.69184290030212,43.90735146022155,40.5840886203424,56.99899295065458,45.31722054380665
25,46.928499496475325,42.09466263846928,45.820745216515604,40.5840886203424,56.99899295065458,45.31722054380665
26,46.42497482376636,44.51158106747231,45.01510574018127,41.99395770392749,56.99899295065458,47.129909365558916
27,49.04330312185297,42.497482376636455,45.31722054380665,41.389728096676734,56.19335347432024,44.914400805639474
28,45.41792547834844,43.80664652567976,43.50453172205438,42.09466263846928,56.6968781470292,44.914400805639474
29,44.813695871097686,43.101711983887206,45.115810674723065,42.09466263846928,57.90533736153072,44.31017119838872
30,47.73413897280967,43.202416918429,44.6122860020141,42.497482376636455,58.20745216515609,46.52567975830816
