,vader,manual,textblob,hiv4,lm,aggregate
0,47.689405847217856,46.557686262181704,48.8839987425338,46.71486953788117,52.68783401446087,47.09210939955989
1,48.00377239861679,48.381012260295506,47.878025778057214,45.77176988368438,52.15341087708267,47.62653253693807
2,47.56365922665828,48.946872052813575,47.657969192077964,46.05469977994341,52.12197422194279,48.12951901917636
3,48.69537881169443,48.66394215655454,47.40647595095882,47.15498270983967,51.587551084564595,48.098082364036465
4,47.878025778057214,47.75227915749764,47.217856020119456,45.92895315938384,52.593524049041186,46.997799434140205
5,47.940899088337005,49.26123860421251,47.78371581263753,47.09210939955989,52.310594152782144,47.59509588179818
6,47.060672744419996,47.186419364979564,47.186419364979564,46.24331971078277,52.02766425652311,46.08613643508331
7,48.852562087393906,48.8839987425338,47.72084250235775,46.369066331342346,51.71329770512417,48.160955674316256
8,47.31216598553914,46.84061615844074,47.217856020119456,46.46337629676203,52.279157497642245,47.060672744419996
9,48.22382898459604,47.56365922665828,47.217856020119456,47.09210939955989,51.493241119144926,46.49481295190191
10,48.28670229487583,46.90348946872053,48.19239232945615,46.49481295190191,52.21628418736246,47.53222257151839
11,47.940899088337005,48.569632191134865,47.56365922665828,47.15498270983967,51.901917635963535,48.50675888085508
12,48.44388557057529,47.31216598553914,47.59509588179818,46.02326312480352,51.30462118830557,47.186419364979564
13,48.06664570889657,47.029236089280104,47.81515246777743,45.83464319396416,51.96479094624332,46.96636277900031
14,46.74630619302106,46.80917950330085,47.060672744419996,46.18044640050299,51.839044325683744,46.62055957246149
15,49.22980194907262,48.34957560515561,48.31813895001572,46.777742848160955,51.587551084564595,48.63250550141465
16,47.37503929581893,48.31813895001572,48.31813895001572,46.43193964162214,51.901917635963535,47.940899088337005
17,47.909462433197106,48.69537881169443,46.18044640050299,46.84061615844074,51.87048098082364,46.62055957246149
18,47.15498270983967,47.59509588179818,47.9723357434769,46.87205281358063,51.80760767054385,47.5007859163785
19,47.28072933039925,47.59509588179818,47.75227915749764,45.42596667714555,51.80760767054385,46.526249607041805
20,47.37503929581893,46.997799434140205,46.49481295190191,45.70889657340459,51.461804464005034,45.80320653882427
21,46.43193964162214,47.72084250235775,47.59509588179818,46.90348946872053,51.461804464005034,47.78371581263753
22,45.86607984910406,46.27475636592266,47.56365922665828,46.306193021062555,51.493241119144926,46.27475636592266
23,48.12951901917636,47.029236089280104,48.160955674316256,47.060672744419996,51.80760767054385,47.37503929581893
24,47.657969192077964,47.40647595095882,47.40647595095882,46.24331971078277,51.96479094624332,46.62055957246149
25,47.72084250235775,48.381012260295506,48.25526563973593,46.557686262181704,52.37346746306193,48.31813895001572
26,46.84061615844074,47.878025778057214,47.437912606098706,46.65199622760138,51.618987739704494,47.31216598553914
27,47.9723357434769,47.28072933039925,48.06664570889657,46.02326312480352,51.587551084564595,47.37503929581893
28,49.04118201823326,48.03520905375668,47.84658912291732,45.77176988368438,51.33605784344546,47.78371581263753
29,50.110028292989625,48.381012260295506,47.940899088337005,47.31216598553914,51.87048098082364,48.82112543225401
30,48.06664570889657,46.80917950330085,47.249292675259355,45.99182646966363,51.147437912606094,47.72084250235775
