,vader,manual,textblob,hiv4,lm,aggregate
0,49.955555555555556,49.6,49.422222222222224,48.4,46.355555555555554,49.24444444444445
1,48.4,47.68888888888888,47.82222222222222,47.77777777777778,45.91111111111111,47.91111111111111
2,51.022222222222226,49.91111111111111,48.31111111111111,48.266666666666666,46.31111111111111,50.088888888888896
3,50.44444444444445,49.82222222222222,49.333333333333336,48.977777777777774,46.666666666666664,50.088888888888896
4,49.022222222222226,48.13333333333333,50.53333333333333,48.22222222222222,46.44444444444444,48.4
5,47.333333333333336,48.66666666666667,48.0,49.06666666666666,47.15555555555556,47.37777777777778
6,48.977777777777774,48.93333333333334,47.55555555555556,48.08888888888889,46.53333333333333,48.044444444444444
7,49.111111111111114,48.4,48.0,48.22222222222222,45.37777777777778,48.044444444444444
8,48.355555555555554,48.08888888888889,48.66666666666667,47.82222222222222,46.44444444444444,48.13333333333333
9,48.977777777777774,49.37777777777777,48.044444444444444,47.46666666666667,46.266666666666666,47.333333333333336
10,48.266666666666666,49.288888888888884,48.48888888888889,48.888888888888886,46.577777777777776,48.53333333333333
11,48.75555555555556,47.82222222222222,47.199999999999996,48.17777777777778,45.955555555555556,46.577777777777776
12,49.6,48.13333333333333,48.75555555555556,48.044444444444444,46.75555555555555,48.84444444444445
13,49.15555555555556,47.82222222222222,48.22222222222222,46.62222222222222,46.13333333333333,47.91111111111111
14,48.53333333333333,48.4,48.888888888888886,48.48888888888889,47.77777777777778,48.44444444444444
15,48.44444444444444,48.75555555555556,49.2,48.08888888888889,45.91111111111111,48.17777777777778
16,50.4,49.24444444444445,49.77777777777778,48.48888888888889,45.68888888888889,48.355555555555554
17,49.288888888888884,48.71111111111111,48.53333333333333,47.644444444444446,46.17777777777778,49.06666666666666
18,47.644444444444446,47.82222222222222,47.24444444444445,46.666666666666664,46.266666666666666,47.24444444444445
19,49.15555555555556,46.88888888888889,48.71111111111111,48.0,46.17777777777778,47.86666666666667
20,48.044444444444444,48.044444444444444,48.266666666666666,47.955555555555556,46.31111111111111,47.15555555555556
21,48.0,48.4,48.8,47.77777777777778,46.31111111111111,47.46666666666667
22,47.11111111111111,48.08888888888889,49.24444444444445,45.955555555555556,45.6,47.02222222222222
23,49.333333333333336,48.4,48.62222222222222,48.4,46.488888888888894,48.8
24,49.55555555555556,48.71111111111111,47.82222222222222,47.24444444444445,46.31111111111111,48.0
25,48.71111111111111,46.97777777777778,47.333333333333336,46.400000000000006,45.15555555555555,47.37777777777778
26,48.93333333333334,46.84444444444444,49.06666666666666,48.08888888888889,46.13333333333333,48.22222222222222
27,47.24444444444445,47.24444444444445,48.22222222222222,47.82222222222222,45.51111111111111,45.955555555555556
28,48.577777777777776,46.31111111111111,49.022222222222226,47.86666666666667,45.82222222222222,47.55555555555556
29,46.488888888888894,47.199999999999996,47.77777777777778,46.71111111111111,46.17777777777778,46.93333333333333
30,48.044444444444444,46.93333333333333,46.31111111111111,46.62222222222222,45.55555555555556,46.488888888888894
